,0
849,213.0
850,213.2
851,213.4
852,213.6
853,213.8
854,214.0
855,214.2
856,214.4
857,214.6
858,214.8
859,215.0
860,215.2
861,215.4
862,215.6
863,215.8
864,216.0
865,216.2
866,216.4
867,216.6
868,216.8
869,217.0
870,217.2
871,217.4
872,217.6
873,217.8
874,218.0
875,218.2
876,218.4
877,218.6
878,218.8
879,219.0
880,219.2
881,219.4
882,219.6
883,219.8
884,220.0
885,220.2
886,220.4
887,220.6
888,220.8
889,221.0
890,221.2
891,221.4
892,221.6
893,221.8
894,222.0
895,222.2
896,222.4
897,222.6
898,222.8
899,223.0
900,223.2
901,223.4
902,223.6
903,223.8
904,224.0
905,224.2
906,224.4
907,224.6
908,224.8
909,225.0
910,225.2
911,225.4
912,225.6
913,225.8
914,226.0
915,226.2
916,226.4
917,226.6
918,226.8
919,227.0
920,227.2
921,227.4
922,227.6
923,227.8
924,228.0
925,228.2
926,228.4
927,228.6
928,228.8
929,229.0
930,229.2
931,229.4
932,229.6
933,229.8
934,230.0
935,230.2
936,230.4
937,230.6
938,230.8
939,231.0
940,231.2
941,231.4
942,231.6
943,231.8
944,232.0
945,232.2
946,232.4
947,232.6
948,232.8
949,233.0
950,233.2
951,233.4
952,233.6
953,233.8
954,234.0
955,234.2
956,234.4
957,234.6
958,234.8
959,235.0
960,235.2
961,235.4
962,235.6
963,235.8
964,236.0
965,236.2
966,236.4
967,236.6
968,236.8
969,237.0
970,237.2
971,237.4
972,237.6
973,237.8
974,238.0
975,238.2
976,238.4
977,238.6
978,238.8
979,239.0
980,239.2
981,239.4
982,239.6
983,239.8
984,240.0
985,240.2
986,240.4
987,240.6
988,240.8
989,241.0
990,241.2
991,241.4
992,241.6
993,241.8
994,242.0
995,242.2
996,242.4
997,242.6
998,242.8
999,243.0
1000,243.2
1001,243.4
1002,243.6
1003,243.8
1004,244.0
1005,244.2
1006,244.4
1007,244.6
1008,244.8
1009,245.0
1010,245.2
1011,245.4
1012,245.6
1013,245.8
1014,246.0
1015,246.2
1016,246.4
1017,246.6
1018,246.8
1019,247.0
1020,247.2
1021,247.4
1022,247.6
1023,247.8
1024,248.0
1025,248.2
1026,248.4
1027,248.6
1028,248.8
1029,249.0
1030,249.2
1031,249.4
1032,249.6
1033,249.8
1034,250.0
1035,250.2
1036,250.4
1037,250.6
1038,250.8
1039,251.0
1040,251.2
1041,251.4
1042,251.6
1043,251.8
1044,252.0
1045,252.2
1046,252.4
1047,252.6
1048,252.8
1049,253.0
1050,253.2
1051,253.4
1052,253.6
1053,253.8
1054,254.0
1055,254.2
1056,254.4
1057,254.6
1058,254.8
1059,255.0
1060,255.2
1061,255.4
1062,255.6
1063,255.8
1064,256.0
1065,256.2
1066,256.4
1067,256.6
1068,256.8
1069,257.0
1070,257.2
1071,257.4
1072,257.6
1073,257.8
1074,258.0
1075,258.2
1076,258.4
1077,258.6
1078,258.8
1079,259.0
1080,259.2
1081,259.4
1082,259.6
1083,259.8
1084,260.0
1085,260.2
1086,260.4
1087,260.6
1088,260.8
1089,261.0
1090,261.2
1091,261.4
1092,261.6
1093,261.8
1094,262.0
1095,262.2
1096,262.4
1097,262.6
1098,262.8
1099,263.0
1100,263.2
1101,263.4
1102,263.6
1103,263.8
1104,264.0
1105,264.2
1106,264.4
1107,264.6
1108,264.8
1109,265.0
1110,265.2
1111,265.4
1112,265.6
1113,265.8
1114,266.0
1115,266.2
1116,266.4
1117,266.6
1118,266.8
1119,267.0
1120,267.2
1121,267.4
1122,267.6
1123,267.8
1124,268.0
1125,268.2
1126,268.4
1127,268.6
1128,0.0
1129,0.2
1130,0.4
1131,0.6
1132,0.8
1133,1.0
1134,1.2
1135,1.4
1136,1.6
1137,1.8
1138,2.0
1139,2.2
1140,2.4
1141,2.6
1142,2.8
1143,3.0
1144,3.2
1145,3.4
1146,3.6
1147,3.8
1148,4.0
1149,4.2
1150,4.4
1151,4.6
1152,4.8
1153,5.0
