,0
1267,42.2
1268,42.4
1269,42.6
1270,42.8
1271,43.0
1272,43.2
1273,43.4
1274,43.6
1275,43.8
1276,44.0
1277,44.2
1278,44.4
1279,44.6
1280,44.8
1281,45.0
1282,45.2
1283,45.4
1284,45.6
1285,45.8
1286,46.0
1287,46.2
1288,46.4
1289,46.6
1290,46.8
1291,47.0
1292,47.2
1293,47.4
1294,47.6
1295,47.8
1296,48.0
1297,48.2
1298,48.4
1299,48.6
1300,48.8
1301,49.0
1302,49.2
1303,49.4
1304,49.6
1305,49.8
1306,50.0
1307,50.2
1308,50.4
1309,50.6
1310,50.8
1311,51.0
1312,51.2
1313,51.4
1314,51.6
1315,51.8
1316,52.0
1317,52.2
1318,52.4
1319,52.6
1320,52.8
1321,53.0
1322,53.2
1323,53.4
1324,53.6
1325,53.8
1326,54.0
1327,54.2
1328,54.4
1329,54.6
1330,54.8
1331,55.0
1332,55.2
1333,55.4
1334,55.6
1335,55.8
1336,56.0
1337,56.2
1338,56.4
1339,56.6
1340,56.8
1341,57.0
1342,57.2
1343,57.4
1344,57.6
1345,57.8
1346,58.0
1347,58.2
1348,58.4
1349,58.6
1350,58.8
1351,59.0
1352,59.2
1353,59.4
1354,59.6
1355,59.8
1356,60.0
1357,60.2
1358,60.4
1359,60.6
1360,60.8
1361,61.0
1362,61.2
1363,61.4
1364,61.6
1365,61.8
1366,62.0
1367,62.2
1368,62.4
1369,62.6
1370,62.8
1371,63.0
1372,63.2
1373,63.4
1374,63.6
1375,63.8
1376,64.0
1377,64.2
1378,64.4
1379,64.6
1380,64.8
1381,65.0
1382,65.2
1383,65.4
1384,65.6
1385,65.8
1386,66.0
1387,66.2
1388,66.4
1389,66.6
1390,66.8
1391,67.0
1392,67.2
1393,67.4
1394,67.6
1395,67.8
1396,68.0
1397,68.2
1398,68.4
1399,68.6
1400,68.8
1401,69.0
1402,69.2
1403,69.4
1404,69.6
1405,69.8
1406,70.0
1407,70.2
1408,70.4
1409,70.6
1410,70.8
